Coordinates (x: 0, y: 0, Yaw: 0.00867057), Distance: 0 meters, Yaw: 0.00867057 degrees
Coordinates (x: 2.45253e-06, y: 3.7126e-10, Yaw: 0.00867587), Distance: 2.45253e-06 meters, Yaw: 0.00867587 degrees
Coordinates (x: 2.50826e-06, y: 3.79698e-10, Yaw: 0.00867605), Distance: 2.50826e-06 meters, Yaw: 0.00867605 degrees
Coordinates (x: 2.56398e-06, y: 3.88136e-10, Yaw: 0.00867627), Distance: 2.56398e-06 meters, Yaw: 0.00867627 degrees
Coordinates (x: 2.61971e-06, y: 3.96575e-10, Yaw: 0.00867657), Distance: 2.61971e-06 meters, Yaw: 0.00867657 degrees
Coordinates (x: 2.67543e-06, y: 4.05013e-10, Yaw: 0.00867672), Distance: 2.67543e-06 meters, Yaw: 0.00867672 degrees
Coordinates (x: 2.73115e-06, y: 4.13452e-10, Yaw: 0.00867697), Distance: 2.73115e-06 meters, Yaw: 0.00867697 degrees
Coordinates (x: 2.78966e-06, y: 4.22313e-10, Yaw: 0.00867739), Distance: 2.78966e-06 meters, Yaw: 0.00867739 degrees
Coordinates (x: 2.8426e-06, y: 4.3033e-10, Yaw: 0.00867751), Distance: 2.8426e-06 meters, Yaw: 0.00867751 degrees
Coordinates (x: 2.89832e-06, y: 4.38769e-10, Yaw: 0.00867757), Distance: 2.89832e-06 meters, Yaw: 0.00867757 degrees
Coordinates (x: 2.9624e-06, y: 4.48474e-10, Yaw: 0.00867802), Distance: 2.9624e-06 meters, Yaw: 0.00867802 degrees
Coordinates (x: 3.00976e-06, y: 4.55648e-10, Yaw: 0.00867828), Distance: 3.00976e-06 meters, Yaw: 0.00867828 degrees
Coordinates (x: 3.06548e-06, y: 4.64087e-10, Yaw: 0.00867835), Distance: 3.06548e-06 meters, Yaw: 0.00867835 degrees
Coordinates (x: 3.1212e-06, y: 4.72527e-10, Yaw: 0.00867842), Distance: 3.1212e-06 meters, Yaw: 0.00867842 degrees
Coordinates (x: 3.17692e-06, y: 4.80966e-10, Yaw: 0.00867825), Distance: 3.17692e-06 meters, Yaw: 0.00867825 degrees
Coordinates (x: 3.23264e-06, y: 4.89406e-10, Yaw: 0.00867795), Distance: 3.23264e-06 meters, Yaw: 0.00867795 degrees
Coordinates (x: 3.28836e-06, y: 4.97844e-10, Yaw: 0.00867787), Distance: 3.28836e-06 meters, Yaw: 0.00867787 degrees
Coordinates (x: 3.34407e-06, y: 5.06283e-10, Yaw: 0.00867791), Distance: 3.34407e-06 meters, Yaw: 0.00867791 degrees
Coordinates (x: 3.39979e-06, y: 5.14722e-10, Yaw: 0.00867822), Distance: 3.39979e-06 meters, Yaw: 0.00867822 degrees
Coordinates (x: 3.45551e-06, y: 5.23161e-10, Yaw: 0.00867863), Distance: 3.45551e-06 meters, Yaw: 0.00867863 degrees
Coordinates (x: 3.51122e-06, y: 5.316e-10, Yaw: 0.00867879), Distance: 3.51122e-06 meters, Yaw: 0.00867879 degrees
Coordinates (x: 3.56694e-06, y: 5.4004e-10, Yaw: 0.00867858), Distance: 3.56694e-06 meters, Yaw: 0.00867858 degrees
Coordinates (x: 3.62265e-06, y: 5.48479e-10, Yaw: 0.00867844), Distance: 3.62265e-06 meters, Yaw: 0.00867844 degrees
Coordinates (x: 3.68115e-06, y: 5.57339e-10, Yaw: 0.0086786), Distance: 3.68115e-06 meters, Yaw: 0.0086786 degrees
Coordinates (x: 3.73408e-06, y: 5.65356e-10, Yaw: 0.00867865), Distance: 3.73408e-06 meters, Yaw: 0.00867865 degrees
Coordinates (x: 3.78979e-06, y: 5.73795e-10, Yaw: 0.00867853), Distance: 3.78979e-06 meters, Yaw: 0.00867853 degrees
Coordinates (x: 3.8455e-06, y: 5.82234e-10, Yaw: 0.00867856), Distance: 3.8455e-06 meters, Yaw: 0.00867856 degrees
Coordinates (x: 3.90121e-06, y: 5.90672e-10, Yaw: 0.00867876), Distance: 3.90121e-06 meters, Yaw: 0.00867876 degrees
Coordinates (x: 3.95692e-06, y: 5.99111e-10, Yaw: 0.00867898), Distance: 3.95692e-06 meters, Yaw: 0.00867898 degrees
Coordinates (x: 4.01263e-06, y: 6.0755e-10, Yaw: 0.0086789), Distance: 4.01263e-06 meters, Yaw: 0.0086789 degrees
Coordinates (x: 4.06834e-06, y: 6.15988e-10, Yaw: 0.00867876), Distance: 4.06834e-06 meters, Yaw: 0.00867876 degrees
Coordinates (x: 4.12405e-06, y: 6.24427e-10, Yaw: 0.00867909), Distance: 4.12405e-06 meters, Yaw: 0.00867909 degrees
Coordinates (x: 4.17976e-06, y: 6.32866e-10, Yaw: 0.00867941), Distance: 4.17976e-06 meters, Yaw: 0.00867941 degrees
Coordinates (x: 4.23547e-06, y: 6.41304e-10, Yaw: 0.00867946), Distance: 4.23547e-06 meters, Yaw: 0.00867946 degrees
Coordinates (x: 4.29396e-06, y: 6.50165e-10, Yaw: 0.00867962), Distance: 4.29396e-06 meters, Yaw: 0.00867962 degrees
Coordinates (x: 4.34688e-06, y: 6.58182e-10, Yaw: 0.00867982), Distance: 4.34688e-06 meters, Yaw: 0.00867982 degrees
Coordinates (x: 4.40259e-06, y: 6.66621e-10, Yaw: 0.00867982), Distance: 4.40259e-06 meters, Yaw: 0.00867982 degrees
Coordinates (x: 4.4583e-06, y: 6.7506e-10, Yaw: 0.00868004), Distance: 4.4583e-06 meters, Yaw: 0.00868004 degrees
Coordinates (x: 4.514e-06, y: 6.83499e-10, Yaw: 0.00868032), Distance: 4.514e-06 meters, Yaw: 0.00868032 degrees
Coordinates (x: 4.56971e-06, y: 6.91939e-10, Yaw: 0.00868061), Distance: 4.56971e-06 meters, Yaw: 0.00868061 degrees
Coordinates (x: 4.62541e-06, y: 7.00378e-10, Yaw: 0.00868101), Distance: 4.62541e-06 meters, Yaw: 0.00868101 degrees
Coordinates (x: 4.68111e-06, y: 7.08818e-10, Yaw: 0.00868118), Distance: 4.68111e-06 meters, Yaw: 0.00868118 degrees
Coordinates (x: 4.7396e-06, y: 7.1768e-10, Yaw: 0.00868126), Distance: 4.7396e-06 meters, Yaw: 0.00868126 degrees
Coordinates (x: 4.79252e-06, y: 7.25698e-10, Yaw: 0.00868151), Distance: 4.79252e-06 meters, Yaw: 0.00868151 degrees
Coordinates (x: 4.84822e-06, y: 7.34138e-10, Yaw: 0.00868183), Distance: 4.84822e-06 meters, Yaw: 0.00868183 degrees
Coordinates (x: 4.90392e-06, y: 7.42578e-10, Yaw: 0.008682), Distance: 4.90392e-06 meters, Yaw: 0.008682 degrees
Coordinates (x: 4.95962e-06, y: 7.51018e-10, Yaw: 0.00868198), Distance: 4.95962e-06 meters, Yaw: 0.00868198 degrees
Coordinates (x: 5.01532e-06, y: 7.59459e-10, Yaw: 0.00868192), Distance: 5.01532e-06 meters, Yaw: 0.00868192 degrees
Coordinates (x: 5.07102e-06, y: 7.67899e-10, Yaw: 0.00868183), Distance: 5.07102e-06 meters, Yaw: 0.00868183 degrees
Coordinates (x: 5.12672e-06, y: 7.76339e-10, Yaw: 0.00868188), Distance: 5.12672e-06 meters, Yaw: 0.00868188 degrees
Coordinates (x: 5.18242e-06, y: 7.84778e-10, Yaw: 0.00868187), Distance: 5.18242e-06 meters, Yaw: 0.00868187 degrees
Coordinates (x: 5.23812e-06, y: 7.93218e-10, Yaw: 0.00868196), Distance: 5.23812e-06 meters, Yaw: 0.00868196 degrees
Coordinates (x: 5.29381e-06, y: 8.01658e-10, Yaw: 0.00868201), Distance: 5.29381e-06 meters, Yaw: 0.00868201 degrees
Coordinates (x: 5.34951e-06, y: 8.10098e-10, Yaw: 0.00868208), Distance: 5.34951e-06 meters, Yaw: 0.00868208 degrees
Coordinates (x: 5.40521e-06, y: 8.18537e-10, Yaw: 0.00868223), Distance: 5.40521e-06 meters, Yaw: 0.00868223 degrees
Coordinates (x: 5.4609e-06, y: 8.26977e-10, Yaw: 0.00868255), Distance: 5.4609e-06 meters, Yaw: 0.00868255 degrees
Coordinates (x: 5.5166e-06, y: 8.35417e-10, Yaw: 0.00868279), Distance: 5.5166e-06 meters, Yaw: 0.00868279 degrees
Coordinates (x: 5.57229e-06, y: 8.43857e-10, Yaw: 0.00868284), Distance: 5.57229e-06 meters, Yaw: 0.00868284 degrees
Coordinates (x: 5.62799e-06, y: 8.52298e-10, Yaw: 0.00868307), Distance: 5.62799e-06 meters, Yaw: 0.00868307 degrees
Coordinates (x: 5.68368e-06, y: 8.60738e-10, Yaw: 0.0086832), Distance: 5.68368e-06 meters, Yaw: 0.0086832 degrees
Coordinates (x: 5.73937e-06, y: 8.69178e-10, Yaw: 0.00868334), Distance: 5.73937e-06 meters, Yaw: 0.00868334 degrees
Coordinates (x: 5.79507e-06, y: 8.77619e-10, Yaw: 0.0086836), Distance: 5.79507e-06 meters, Yaw: 0.0086836 degrees
Coordinates (x: 5.85076e-06, y: 8.86059e-10, Yaw: 0.00868394), Distance: 5.85076e-06 meters, Yaw: 0.00868394 degrees
Coordinates (x: 5.90645e-06, y: 8.945e-10, Yaw: 0.00868403), Distance: 5.90645e-06 meters, Yaw: 0.00868403 degrees
Coordinates (x: 5.96214e-06, y: 9.02941e-10, Yaw: 0.00868408), Distance: 5.96214e-06 meters, Yaw: 0.00868408 degrees
Coordinates (x: 6.01783e-06, y: 9.11382e-10, Yaw: 0.00868445), Distance: 6.01783e-06 meters, Yaw: 0.00868445 degrees
Coordinates (x: 6.07352e-06, y: 9.19823e-10, Yaw: 0.00868472), Distance: 6.07352e-06 meters, Yaw: 0.00868472 degrees
Coordinates (x: 6.12921e-06, y: 9.28264e-10, Yaw: 0.00868491), Distance: 6.12921e-06 meters, Yaw: 0.00868491 degrees
Coordinates (x: 6.1849e-06, y: 9.36705e-10, Yaw: 0.00868493), Distance: 6.1849e-06 meters, Yaw: 0.00868493 degrees
Coordinates (x: 6.24059e-06, y: 9.45147e-10, Yaw: 0.00868496), Distance: 6.24059e-06 meters, Yaw: 0.00868496 degrees
Coordinates (x: 6.29627e-06, y: 9.53588e-10, Yaw: 0.00868506), Distance: 6.29627e-06 meters, Yaw: 0.00868506 degrees
Coordinates (x: 6.35196e-06, y: 9.62029e-10, Yaw: 0.00868531), Distance: 6.35196e-06 meters, Yaw: 0.00868531 degrees
Coordinates (x: 6.40765e-06, y: 9.7047e-10, Yaw: 0.00868537), Distance: 6.40765e-06 meters, Yaw: 0.00868537 degrees
Coordinates (x: 6.46333e-06, y: 9.78912e-10, Yaw: 0.00868546), Distance: 6.46333e-06 meters, Yaw: 0.00868546 degrees
Coordinates (x: 6.51902e-06, y: 9.87353e-10, Yaw: 0.00868594), Distance: 6.51902e-06 meters, Yaw: 0.00868594 degrees
Coordinates (x: 6.5747e-06, y: 9.95795e-10, Yaw: 0.00868635), Distance: 6.5747e-06 meters, Yaw: 0.00868635 degrees
Coordinates (x: 6.63039e-06, y: 1.00424e-09, Yaw: 0.00868643), Distance: 6.63039e-06 meters, Yaw: 0.00868643 degrees
Coordinates (x: 6.68607e-06, y: 1.01268e-09, Yaw: 0.00868627), Distance: 6.68607e-06 meters, Yaw: 0.00868627 degrees
Coordinates (x: 6.74454e-06, y: 1.02154e-09, Yaw: 0.00868615), Distance: 6.74454e-06 meters, Yaw: 0.00868615 degrees
Coordinates (x: 6.79744e-06, y: 1.02956e-09, Yaw: 0.00868611), Distance: 6.79744e-06 meters, Yaw: 0.00868611 degrees
Coordinates (x: 6.85312e-06, y: 1.038e-09, Yaw: 0.00868626), Distance: 6.85312e-06 meters, Yaw: 0.00868626 degrees
Coordinates (x: 6.9088e-06, y: 1.04645e-09, Yaw: 0.00868624), Distance: 6.9088e-06 meters, Yaw: 0.00868624 degrees
Coordinates (x: 6.96448e-06, y: 1.05489e-09, Yaw: 0.00868619), Distance: 6.96448e-06 meters, Yaw: 0.00868619 degrees
Coordinates (x: 7.02017e-06, y: 1.06333e-09, Yaw: 0.00868658), Distance: 7.02017e-06 meters, Yaw: 0.00868658 degrees
Coordinates (x: 7.07585e-06, y: 1.07177e-09, Yaw: 0.00868688), Distance: 7.07585e-06 meters, Yaw: 0.00868688 degrees
Coordinates (x: 7.13152e-06, y: 1.08021e-09, Yaw: 0.00868694), Distance: 7.13153e-06 meters, Yaw: 0.00868694 degrees
Coordinates (x: 7.1872e-06, y: 1.08865e-09, Yaw: 0.00868686), Distance: 7.1872e-06 meters, Yaw: 0.00868686 degrees
Coordinates (x: 7.24288e-06, y: 1.0971e-09, Yaw: 0.00868677), Distance: 7.24288e-06 meters, Yaw: 0.00868677 degrees
Coordinates (x: 7.30134e-06, y: 1.10596e-09, Yaw: 0.00868665), Distance: 7.30134e-06 meters, Yaw: 0.00868665 degrees
Coordinates (x: 7.35424e-06, y: 1.11398e-09, Yaw: 0.00868623), Distance: 7.35424e-06 meters, Yaw: 0.00868623 degrees
Coordinates (x: 7.40992e-06, y: 1.12242e-09, Yaw: 0.00868589), Distance: 7.40992e-06 meters, Yaw: 0.00868589 degrees
Coordinates (x: 7.46559e-06, y: 1.13086e-09, Yaw: 0.0086858), Distance: 7.46559e-06 meters, Yaw: 0.0086858 degrees
Coordinates (x: 7.52127e-06, y: 1.1393e-09, Yaw: 0.00868599), Distance: 7.52127e-06 meters, Yaw: 0.00868599 degrees
Coordinates (x: 7.57694e-06, y: 1.14774e-09, Yaw: 0.00868617), Distance: 7.57694e-06 meters, Yaw: 0.00868617 degrees
Coordinates (x: 7.63262e-06, y: 1.15618e-09, Yaw: 0.00868625), Distance: 7.63262e-06 meters, Yaw: 0.00868625 degrees
Coordinates (x: 7.69108e-06, y: 1.16504e-09, Yaw: 0.00868648), Distance: 7.69108e-06 meters, Yaw: 0.00868648 degrees
Coordinates (x: 7.74397e-06, y: 1.17306e-09, Yaw: 0.00868679), Distance: 7.74397e-06 meters, Yaw: 0.00868679 degrees
Coordinates (x: 7.79964e-06, y: 1.1815e-09, Yaw: 0.00868674), Distance: 7.79964e-06 meters, Yaw: 0.00868674 degrees
Coordinates (x: 7.85531e-06, y: 1.18994e-09, Yaw: 0.00868664), Distance: 7.85531e-06 meters, Yaw: 0.00868664 degrees
Coordinates (x: 7.91099e-06, y: 1.19838e-09, Yaw: 0.00868694), Distance: 7.91099e-06 meters, Yaw: 0.00868694 degrees
Coordinates (x: 7.96666e-06, y: 1.20682e-09, Yaw: 0.00868713), Distance: 7.96666e-06 meters, Yaw: 0.00868713 degrees
Coordinates (x: 8.02233e-06, y: 1.21527e-09, Yaw: 0.00868736), Distance: 8.02233e-06 meters, Yaw: 0.00868736 degrees
Coordinates (x: 8.078e-06, y: 1.22371e-09, Yaw: 0.00868758), Distance: 8.078e-06 meters, Yaw: 0.00868758 degrees
Coordinates (x: 8.13367e-06, y: 1.23215e-09, Yaw: 0.0086876), Distance: 8.13367e-06 meters, Yaw: 0.0086876 degrees
Coordinates (x: 8.18934e-06, y: 1.24059e-09, Yaw: 0.00868765), Distance: 8.18934e-06 meters, Yaw: 0.00868765 degrees
Coordinates (x: 8.24501e-06, y: 1.24903e-09, Yaw: 0.00868782), Distance: 8.24501e-06 meters, Yaw: 0.00868782 degrees
Coordinates (x: 8.30068e-06, y: 1.25747e-09, Yaw: 0.008688), Distance: 8.30068e-06 meters, Yaw: 0.008688 degrees
Coordinates (x: 8.35913e-06, y: 1.26633e-09, Yaw: 0.00868803), Distance: 8.35913e-06 meters, Yaw: 0.00868803 degrees
Coordinates (x: 8.41202e-06, y: 1.27435e-09, Yaw: 0.00868815), Distance: 8.41202e-06 meters, Yaw: 0.00868815 degrees
Coordinates (x: 8.47047e-06, y: 1.28322e-09, Yaw: 0.0086883), Distance: 8.47047e-06 meters, Yaw: 0.0086883 degrees
Coordinates (x: 8.52335e-06, y: 1.29124e-09, Yaw: 0.0086882), Distance: 8.52335e-06 meters, Yaw: 0.0086882 degrees
Coordinates (x: 8.57902e-06, y: 1.29968e-09, Yaw: 0.00868816), Distance: 8.57902e-06 meters, Yaw: 0.00868816 degrees
Coordinates (x: 8.63468e-06, y: 1.30812e-09, Yaw: 0.00868829), Distance: 8.63468e-06 meters, Yaw: 0.00868829 degrees
Coordinates (x: 8.69035e-06, y: 1.31656e-09, Yaw: 0.00868829), Distance: 8.69035e-06 meters, Yaw: 0.00868829 degrees
Coordinates (x: 8.74601e-06, y: 1.325e-09, Yaw: 0.00868817), Distance: 8.74601e-06 meters, Yaw: 0.00868817 degrees
Coordinates (x: 8.80168e-06, y: 1.33344e-09, Yaw: 0.00868819), Distance: 8.80168e-06 meters, Yaw: 0.00868819 degrees
Coordinates (x: 8.85734e-06, y: 1.34188e-09, Yaw: 0.00868829), Distance: 8.85734e-06 meters, Yaw: 0.00868829 degrees
Coordinates (x: 8.913e-06, y: 1.35032e-09, Yaw: 0.0086884), Distance: 8.913e-06 meters, Yaw: 0.0086884 degrees
Coordinates (x: 8.96867e-06, y: 1.35876e-09, Yaw: 0.00868863), Distance: 8.96867e-06 meters, Yaw: 0.00868863 degrees
Coordinates (x: 9.02433e-06, y: 1.3672e-09, Yaw: 0.00868871), Distance: 9.02433e-06 meters, Yaw: 0.00868871 degrees
Coordinates (x: 9.07999e-06, y: 1.37565e-09, Yaw: 0.00868861), Distance: 9.07999e-06 meters, Yaw: 0.00868861 degrees
Coordinates (x: 9.13565e-06, y: 1.38409e-09, Yaw: 0.00868869), Distance: 9.13565e-06 meters, Yaw: 0.00868869 degrees
Coordinates (x: 9.19131e-06, y: 1.39253e-09, Yaw: 0.00868873), Distance: 9.19131e-06 meters, Yaw: 0.00868873 degrees
Coordinates (x: 9.24697e-06, y: 1.40097e-09, Yaw: 0.00868879), Distance: 9.24697e-06 meters, Yaw: 0.00868879 degrees
Coordinates (x: 9.30263e-06, y: 1.40941e-09, Yaw: 0.00868897), Distance: 9.30263e-06 meters, Yaw: 0.00868897 degrees
Coordinates (x: 9.35829e-06, y: 1.41785e-09, Yaw: 0.00868926), Distance: 9.35829e-06 meters, Yaw: 0.00868926 degrees
Coordinates (x: 9.41395e-06, y: 1.42629e-09, Yaw: 0.00868943), Distance: 9.41395e-06 meters, Yaw: 0.00868943 degrees
Coordinates (x: 9.46961e-06, y: 1.43473e-09, Yaw: 0.0086895), Distance: 9.46961e-06 meters, Yaw: 0.0086895 degrees
Coordinates (x: 9.52527e-06, y: 1.44317e-09, Yaw: 0.00868967), Distance: 9.52527e-06 meters, Yaw: 0.00868967 degrees
Coordinates (x: 9.58093e-06, y: 1.45161e-09, Yaw: 0.00868983), Distance: 9.58093e-06 meters, Yaw: 0.00868983 degrees
Coordinates (x: 9.63658e-06, y: 1.46006e-09, Yaw: 0.00869019), Distance: 9.63658e-06 meters, Yaw: 0.00869019 degrees
Coordinates (x: 9.69224e-06, y: 1.4685e-09, Yaw: 0.00869044), Distance: 9.69224e-06 meters, Yaw: 0.00869044 degrees
Coordinates (x: 9.7479e-06, y: 1.47694e-09, Yaw: 0.00869044), Distance: 9.7479e-06 meters, Yaw: 0.00869044 degrees
Coordinates (x: 9.80355e-06, y: 1.48538e-09, Yaw: 0.00869036), Distance: 9.80355e-06 meters, Yaw: 0.00869036 degrees
Coordinates (x: 9.85921e-06, y: 1.49382e-09, Yaw: 0.00869041), Distance: 9.85921e-06 meters, Yaw: 0.00869041 degrees
Coordinates (x: 9.91486e-06, y: 1.50226e-09, Yaw: 0.00869065), Distance: 9.91486e-06 meters, Yaw: 0.00869065 degrees
Coordinates (x: 9.97052e-06, y: 1.51071e-09, Yaw: 0.00869076), Distance: 9.97052e-06 meters, Yaw: 0.00869076 degrees
Coordinates (x: 1.00262e-05, y: 1.51915e-09, Yaw: 0.00869059), Distance: 1.00262e-05 meters, Yaw: 0.00869059 degrees
Coordinates (x: 1.00818e-05, y: 1.52759e-09, Yaw: 0.00869042), Distance: 1.00818e-05 meters, Yaw: 0.00869042 degrees
Coordinates (x: 1.01375e-05, y: 1.53603e-09, Yaw: 0.00869056), Distance: 1.01375e-05 meters, Yaw: 0.00869056 degrees
Coordinates (x: 1.01931e-05, y: 1.54447e-09, Yaw: 0.00869061), Distance: 1.01931e-05 meters, Yaw: 0.00869061 degrees
Coordinates (x: 1.02488e-05, y: 1.55291e-09, Yaw: 0.0086906), Distance: 1.02488e-05 meters, Yaw: 0.0086906 degrees
Coordinates (x: 1.03044e-05, y: 1.56135e-09, Yaw: 0.00869081), Distance: 1.03044e-05 meters, Yaw: 0.00869081 degrees
Coordinates (x: 1.03629e-05, y: 1.57022e-09, Yaw: 0.00869089), Distance: 1.03629e-05 meters, Yaw: 0.00869089 degrees
Coordinates (x: 1.04157e-05, y: 1.57824e-09, Yaw: 0.00869083), Distance: 1.04157e-05 meters, Yaw: 0.00869083 degrees
Coordinates (x: 1.04714e-05, y: 1.58668e-09, Yaw: 0.00869091), Distance: 1.04714e-05 meters, Yaw: 0.00869091 degrees
Coordinates (x: 1.0527e-05, y: 1.59512e-09, Yaw: 0.00869118), Distance: 1.0527e-05 meters, Yaw: 0.00869118 degrees
Coordinates (x: 1.05827e-05, y: 1.60356e-09, Yaw: 0.00869128), Distance: 1.05827e-05 meters, Yaw: 0.00869128 degrees
